date,version,hash
2017-07-28,0.4,5d89f22aa51b9defdc52825c079a1f6127b367c9
2017-07-30,0.4,14d1aa9c3146c9bb8b181216695835a0ae673448
2017-08-01,0.43,b685a36e71fb7c914f162504585a432071e66d5c
2017-08-04,0.46,293e68ea2b279cd12352dbef6073449ab2600544
2017-08-07,0.48,a92d32060afc56a9b7e10aa4fe433813f6de6026
2017-08-09,0.481,f43763e8ec50b1576d7d94ab73df1ee83ece75a8
2017-08-11,0.482,8117248adb4d021fea098ecd7db19ba42d7a30b0
2017-08-16,0.483,81542b832fb2b2c1177cca928916b43b6cb3e7a5
2017-08-18,0.5,d46f4f388f2efaa55ab918113165dac0b8cc589c
2017-09-12,0.5,b63e7b3b425fd34585906416c6be42f50e89eeed
2017-10-22,0.5.6,99ead2d0b5223f3a5754a7053af24ea0b23b131c
2017-10-30,0.5.7,1390729b2be7dc555253bf360bcb524af11afd05
2017-11-02,0.5.8,8b11bd7828f750acd1fe0276c01cec3d76f17f70
2018-02-28,0.5.9,d9dffb4e9678bf721f847c318bb689daaf8555cb
2018-03-09,0.5.91,89d75229b7f261f11a18c20b6dc32926ee9cfaf4
2018-07-18,0.5.92,8932752f59a997d2cb7d5b84b5fc9c01ae55aadf
2018-07-19,0.5.922,322a3046ae45f0c5b8ce108d385d11b1e70ed4c7
2018-07-20,0.5.942,760e4992a94b7ddf97201600f94c886a95e3996a
2018-07-22,0.5.944,7d573defa0912b84349239850d00a69925f0ee44
2018-07-23,0.5.945,527da8184888cbbfd87a3d24882d43038a875f28
2018-07-26,0.5.95,79f6417aa7713397c3c2ada895f704cec5eb9fd4
2018-07-27,0.5.963,d8728f4e409631d1db5e9726886999d2029a1c97
2018-07-30,0.6.1,bb1b3feb6dadfd8b1942cdb9589179bf52133d39
2018-07-31,0.6.102,6f2dcaad5f7ef03216b7dc3c38dca8ebe6ad7677
2018-08-01,0.6.103,f408ac53dbd0304c5a66ca6d4bc4665573871af8
2018-08-07,0.6.104,4020b0fe366a4572822dce4ca94994121a8135de
2018-08-10,0.6.112,39ed9760c518aa90be93d58e132a726b4d11ea49
2018-08-13,0.6.113,794829c4e90c9a9c7a3739fdb4cbeec3994b0788
2018-08-15,0.6.115,717864ef055bbd6031496327ae0cc8fb48968f84
2018-08-16,0.07.01,c10d3468cd81562f9b5ea4cfab441f0f29029cfa
2018-08-17,0.07.02,257cf5d854c7618196aaa1b021895a6abe1c52cf
2018-08-20,0.08.000,c317b44caf2ffd7c06c8e46ced435490fc64f18d
2018-08-22,0.09.000,327563e8448bfec62d9e0080c7d4cc48600b5b5f
2018-09-03,0.10.000,1ed6bbdd115f01480d7ab8740949c278b6623a2a
2018-09-15,0.10.01,524dd9a6d4a20c73dd7b38cd990dd682a3e58138
2018-10-04,0.10.03,e84732eece4acf340efac3458d4d74d8ce9ea347
2018-10-08,0.11.000,6e8b9b5d267d0f79eab4d70ef8973cbaef5e9284
2018-10-12,0.11.01,2b3559c98db007021e4a0873207446e453655135
2018-10-13,0.12.000,0e78f4fa94067738993e2b23cd829312477d207c
2018-11-08,0.12.01,ee1b32830d482aff2c5838f9670e4bdb698b2f8c
2018-11-09,0.12.10,9660bef6b014af306da3f33b2eb002fe2ac2f920
2018-11-27,0.12.12,56ea70f2a03bbb0a35540552cd60f08c72906a23
2018-11-28,0.12.17,dedc05b22d76b5a12eb69127e2820af8f744cb2a
2018-12-01,0.12.20,b80c8a629969a17519af7aaf620c16cfdd0bf6d0
2018-12-02,0.12.23,131677090a2e0bff35fd604777a3997ca5126fde
2018-12-03,0.12.24,bee022667e52e5cad2e988402106362129406b14
2018-12-04,0.12.26,d01b05c319333992635fcf035aad62875acf1b55
2018-12-11,0.12.27,913267e6b6c75e27778015c531fb0f7867be3d2d
2018-12-12,0.12.29,49aa3e9c5700c7c5089dc664ceb5819995abd666
2018-12-15,0.12.30,963e3f2006f828cca650375f7488e7503774992f
2018-12-16,0.12.32,8793baac419394156bb5f3c8e80270eedfa125d9
2018-12-19,0.12.33,271ff75c4018e1de29d58a222a114a7515a437f3
2018-12-26,0.14.03,7442365b92538466bccef41dc4fb327704fd62fb
2018-12-27,0.15.05,dcc21d3631838c14bc2233c8c88b3881db0e62f3
2018-12-28,0.15.15,89d0d9be2fe2d5a3c504daab7627e2f2a2c83696
2018-12-29,0.15.17,2969a8f4c5d59a4ff33cbe521c06a156a2f788d3
2019-02-01,0.15.18,6b1325890ad79be7a9ff55b8afc4b28dfe3c6a0d
2019-02-04,0.15.19,670608b85553b3ba5e1aa79229f52d0bf36a8bf0
2019-04-24,01.00.05,ce46f5548d71dc2e4caa96ca76f2bd6f9a2b9fd8
2019-08-14,01.00.05,7ed26d1e3ec3e2ed8741feb678cf2af329f06c9e
2019-08-26,01.00.10,6eb8dde27879db8d5c9d34cae97abe721d189eda
2019-08-28,01.00.11,58bb136b5608bab82e227682fcabcb93a7afdfed
2019-08-29,01.00.13,0fea174320daa15b78b6fb7aabdbc4ff3c519f7d
2019-10-03,01.00.18,5a9eaf6c1d7956d2f0c2a77e9f4a18fbb8b2c5bb
2019-10-07,01.01.04,02c6a978ba3eccfcb0d7e86bab1b0dfa5643d02b
2019-10-18,01.01.06,7e7da564504406520912b71e32a6c67bae54c82f
2019-10-24,01.01.08,e4a801ad302249c9d99b2e87102c159a640cbb8b
2019-10-25,01.02.000,f5f6b87f4f15ac08505d74933fafec3e022a6268
2019-10-27,01.02.03,629ca5161b572704adcf16a989af631ffce26817
2019-10-28,01.02.04,84b708ad843d568d6e4ac7b7d6729bde4b09dcc2
2019-11-25,01.02.05,9f13254e1502b24648f02ba25dd3f5e0ed9408cb
2019-11-27,01.02.05,abc6a98bdc8828f95e5f2979e91493cbffa89572
2019-11-28,01.03.02,69e1afbad301a15a32777f82780efde6f406b992
2019-12-02,01.03.03,8f89431ab6154b484a7e3664ed0be19433f82500
2019-12-03,01.03.09,25b4661628397647937c8aa7991e8ae8390d7039
2019-12-04,01.03.31,e4633ea699cb7da18dd935375bded84ed9e857df
2019-12-05,01.03.31,496e19dee824668bfb6cc884ec67526e5950df00
2019-12-06,01.04.01,f3f1c420437f090ed2a78217272c1c7246d30274
2019-12-09,01.04.04,d74853d82b802608ae07f1773c04fd926e2e6cbf
2019-12-12,01.04.05,a8fe4deb19502d31a5bdbd8f478d92ca672a0be8
2019-12-15,01.04.05,11f5d5d9a257f218778f62832e6be4046ff90e24
2019-12-18,01.04.05,2a01570fe3ee530e6c17cb3bb612badb495a29a6
2019-12-19,01.05.000,0ef964956049844febb8edd0877bc1ab5121000e
2019-12-20,01.05.01,6dc5dce6998fef4c1006b41a8d89151ffcb86ca2
2019-12-29,01.05.01,f78659ed2a2828bb80dfda1c8a947f00a1f31313
2019-12-30,01.05.04,24ec5b6348c20726631718b104cf792d0c23caab
2019-12-31,01.05.07,a91c4ae3840abb591f88937938c1375fcf3765c3
2020-01-01,01.05.12,d800a87b3f8af2c8fb740590cc95616f425948f3
2020-01-02,01.05.18,7bd9921bf9d5f603abdec429fa18943014066ff7
2020-01-05,01.05.20,27ad22a9284c2f484b5cc786b7ceeb24ded39a97
2020-01-06,01.05.21,d70d29ad488c0e9988397bdecc2f885890315907
2020-01-07,01.05.23,83f7fa6c767b2616fad3fdc2fde4b7563e94b034
2020-01-20,01.05.24,f29d5d7b6cfd244d914abd032021a7552f5d699b
2020-03-07,01.05.25,4c729ffdc77f5dcfc4f51bf6210d54906a9b5a4a
2020-04-12,01.05.26,ec765efce7ab46602498297ee20863e3e605f65d
2020-05-01,01.05.26,1f7b673810becd1eec77de4aba0679664df3e6df
2020-05-04,01.06.01,7c1abfdba8ec9d5f425154f866b8cc4f79a11084
2020-06-05,01.06.02,49e35004d0e23486d699f7fe9bb4a2acad8ca02c
2020-07-26,01.07.000,ef91a86c3695d3ff0dbfd83b57193c44c8d962a1
2020-08-10,01.07.000,6115ce4cdebe31a847de37fc7743ca7cd1a434a9
2020-08-17,01.08.000,91ed9a82ee48156328f02a3a55867706f3d6c518
2020-08-18,01.08.000,11ef59ee8b606758ac08482a8ef27b0a968a85c1
2020-08-30,01.08.02,97793aee1a5bccf62a6ac8637e45c5323b024ce0
2020-08-31,01.09.000,ee37d54e8114432f618b385444faa645b1f19a28
2020-09-04,01.09.03,ee2ae544fad2cb9de1d7e1045670ec5bb795eee7
2020-09-15,01.09.03,cd3b257862c891015713ccbe46700167d74c97ac
2020-09-28,01.09.05,79e608d477faa6a4075e5803a2082cb2350ab5be
2020-10-07,01.09.07,cf25113103d0c335640833dc7ba86ed26962babd
2020-10-08,01.09.09,7fd6be143b694ebe856767f12ce86a9e23d1588a
2020-10-12,01.09.16,c5d7317a248d04f2aff8bf047770ee123d2a4a1a
2020-10-13,01.09.17,f97d2916fa3eb693820bfad15b19ec17236db4ee
2020-10-14,01.09.23,654dc30a42aa436cab6a30df71622a4f9c571e33
2020-10-21,01.09.23,9ae35cbc06a5205ae69e18399ea39df1aee5cde1
2020-10-22,01.09.24,e1e5aff505667ab7f7131b30876cdc508c657104
2020-10-27,01.09.26,1a4c87b38d7c463a3959a0c074dd271eaecf89fb
2020-10-31,01.09.27,1ea5f1ea57cf4a08387484a780190642860a640a
2020-11-02,01.09.28,5fd5de5d38e6eb3ccc952d0c92238d603d313480
2020-11-04,01.09.30,bc12e404edd962d10f75c822acfe352fac2bdf42
2020-12-22,01.10.01,cde0b39a933ee8fdae560899737aa8f1738f8671
2020-12-28,01.10.03,44ce3505fa8062d8d6b2682dae54b32e55c9cb48
2021-01-02,01.10.04,bd983a703e27e22e5c374dcea58630655c21d9aa
2021-01-03,01.11.000,2cc7b9e58d61026c3f96842e3711354f178d9780
2021-01-04,01.11.01,8774a55570e7094cc0d946d37acb19b96c193fc2
2021-01-06,01.11.02,7e1ef09d68106f9302d9d34e3653ce9235502f33
2021-01-12,01.11.03,efa73e4ed3ddc30d5207a4054ffa12bd567abcce
2021-01-14,01.11.06,d2bdef1f7054f8175daa82426bf833df0316f635
2021-01-15,01.12.000,9f7bf4d35e136ecb5fb7c914122acf62f8f8d6a1
2021-01-16,01.12.02,8e122c1694d5df362cff31a48f8ef6091dff67e6
2021-01-17,01.12.03,4b3f04bcf7915e976558b7ce15f1df2449cbbc4b
2021-01-18,01.12.04,61323dfb75a2fb103736aa5c4b42cae2ce2695ca
2021-01-20,01.12.05,1fdaf568f82c9c889bffb90c36191214600f2c3c
2021-01-21,01.12.06,2a4b1dda77cbc31a71f95729a50fd1e80b4e6ae2
2021-01-23,01.12.07,ba910ddc536f18d4686b5eb5f539aab3431ce771
2021-01-24,01.12.08,cee9abe4c83cbee3e74022b2668664aa412db318
2021-01-25,01.12.09,bb563c4fbe5e361503c2e85b1fbb2c796c2e0939
2021-01-26,01.12.12,92599efefc18243ddc480bad6ab6a7a3c117ca14
2021-01-29,01.13.01,b835680ee7cc022bd1470ac81035c8581a801171
2021-01-30,01.13.02,492c02156554b3418e6beca5984e5c2d99bd448d
2021-02-03,01.13.03,2e1035a22748629efe8de908fc196a23ce350fd9
2021-02-04,01.13.04,521d841e24dec26e388ff27717894a13d6358add
2021-02-08,01.13.06,2a26ac05e6d9d10d8c09b99e7f1992e46fa33957
2021-02-09,01.13.09,12bfedaf27f582a1959534c8a64ac6f94587e5eb
2021-02-10,01.13.11,ca6c5b1bda73385fb96e8f3e8f0a9d74ee507fa9
2021-02-16,01.13.15,276d10218b5959dc44cfe4fcde4bf77ce1e40696
2021-02-17,01.13.16,7b3bf9743febe78a103f102b615ad5fb749f43c2
2021-02-19,01.13.17,ce277f48bc5aef705dfcb4d6694e65ed5d846f0e
2021-02-22,01.13.19,22c4db04400a147a11622b0b0c8e68408f1a4508
2021-02-24,01.13.22,ab0ba6c89474bd95104309283c55339a4a107642
2021-02-26,01.13.25,6679e12ce1a8a749f60890e15ae301030df16a5d
2021-02-27,01.13.23,45f2550f84b0a939d5557d61481216a19a0d6c97
2021-03-01,01.13.31,3a57890ea3ab116a0c3071c019b5dcfc57a7823a
2021-03-02,01.13.31,5d363df8b9d781d47af841d0b8e2a70f70080a1a
2021-03-03,01.13.32,8efbc78c3131b3834f7bc305e5635e7e2d7f6ffb
2021-03-04,01.13.34,0b708d5fc9e57a73e444996e07eed0528735c780
2021-03-22,01.13.37,1d25b20b7e23a76cc437d2cc1659e92706443148
2021-03-23,01.13.39,3ebc61c48b099e4c98c8cf514d7682950c72d08f
2021-04-01,01.13.40,f31a317a6f739d5461ee93763cf983ce2fac3735
2021-04-09,01.13.41,536528f45164b08e0ffd45904ffaa69d7a7cb236
2021-04-12,01.13.43,02250a51e2b6b9710d873cfee6f065c17ebf42a3
2021-04-13,01.13.44,574fbe53014dd7b254768f89da74c987654e4199
2021-04-15,01.13.45,773a23ab43f1ed7bbf60eff8126ef6212aa3f2f4
2021-04-18,01.13.46,0c1591249eff3e837a2d42f590dfce98491a4765
2021-04-21,01.13.46,c4167fdbd563a3e777d77e95f078d8d3c1833011
2021-04-24,01.13.47,0a208f5ff9a0676ea21ea6abdbe6899de5149614
2021-05-05,01.13.48,c796dffecbd5ae6fd05644a0abbe3a62dd1a6640
2021-05-07,01.13.49,051390f3c4144420ded0fd78e6683f2eb5b8534f
2021-05-09,01.13.50,c14678d2bf3a17052e23573d18e8d6d91cba8e44
2021-05-12,01.13.51,734948faf0c1913e1cd0d111d78b55e1f5d01271
2021-05-20,01.13.52,164189c8c336845ab001031902485358326c230a
2021-05-23,01.13.53,0c6090bc281401a1c9d0a61d08602bb932c8f060
2021-05-27,01.13.54,76d0651fdf0a5c5ed95a51cc6b23ac48101daf09
2021-05-31,01.13.55,59a0f4e50b7696c185a3c9d4e582426f88aac84f
2021-06-16,01.13.57,39be92db9c217c29511e653b18ff97d921153605
2021-06-17,01.13.58,cf2dda3ac1eee11cc32fa18bedfa429b5c7bafa8
2021-06-23,01.13.59,0f8fff68ace12f07173156e979290db0e1578cea
2021-07-13,01.13.60,0560660113fa5b79de87e982b755ccb734d3b6a6
2021-07-14,01.13.61,9cc242cc4496c0798e367e9c77be1ed006f8ba18
2021-08-18,01.13.62,a5977c76166914e6cc13f94a15c4412f4a735e10
2021-08-20,01.13.63,2ba8f6aa4435388e400065afabba02992dd765ff
2021-08-23,01.13.65,9d5b0e407aea81a90c34e400e1c7b755d0c361d5
2021-08-25,01.13.66,3cfe9a80ec3728703f9009d9088ff9d94b1d8b26
2021-09-01,01.13.67,a2ac0a223879fb67e0cade10284431262b218df2
2021-09-03,01.13.68,d7262ee938798cf3317aaef8a51923a6669d849f
